[2025-01-12 02:01:19,066][root][INFO] - Epoch 0, EarlyStopper reset counter
[2025-01-12 02:05:27,795][root][INFO] - Epoch 1, EarlyStopper counter: 1/10
[2025-01-12 02:11:09,663][root][INFO] - Epoch 2, EarlyStopper reset counter
[2025-01-12 02:16:42,027][root][INFO] - Epoch 3, EarlyStopper reset counter
[2025-01-12 02:22:09,938][root][INFO] - Epoch 4, EarlyStopper reset counter
[2025-01-12 02:25:45,071][root][INFO] - Epoch 5, EarlyStopper reset counter
[2025-01-12 02:29:09,628][root][INFO] - Epoch 6, EarlyStopper counter: 1/10
[2025-01-12 02:32:02,072][root][INFO] - Epoch 7, EarlyStopper reset counter
[2025-01-12 02:34:21,577][root][INFO] - Epoch 8, EarlyStopper counter: 1/10
[2025-01-12 02:35:48,495][root][INFO] - Epoch 9, EarlyStopper counter: 2/10
[2025-01-12 02:37:31,504][root][INFO] - Epoch 10, EarlyStopper counter: 3/10
[2025-01-12 02:39:09,546][root][INFO] - Epoch 11, EarlyStopper counter: 4/10
[2025-01-12 02:40:59,226][root][INFO] - Epoch 12, EarlyStopper counter: 5/10
[2025-01-12 02:42:37,939][root][INFO] - Epoch 13, EarlyStopper counter: 6/10
[2025-01-12 02:44:20,522][root][INFO] - Epoch 14, EarlyStopper counter: 7/10
[2025-01-12 02:45:40,596][root][INFO] - Epoch 15, EarlyStopper counter: 8/10
[2025-01-12 02:46:56,999][root][INFO] - Epoch 16, EarlyStopper counter: 9/10
[2025-01-12 02:48:18,364][root][INFO] - Epoch 17, EarlyStopper counter: 10/10
