[2025-01-12 18:50:56,267][root][INFO] - Epoch 0, EarlyStopper reset counter
[2025-01-12 18:50:59,224][root][INFO] - Epoch 0, EarlyStopper reset counter
[2025-01-12 18:51:23,479][root][INFO] - Epoch 0, EarlyStopper reset counter
[2025-01-12 18:51:26,028][root][INFO] - Epoch 0, EarlyStopper reset counter
[2025-01-12 18:51:33,043][root][INFO] - Epoch 1, EarlyStopper counter: 1/10
[2025-01-12 18:51:34,861][root][INFO] - Epoch 1, EarlyStopper counter: 1/10
[2025-01-12 18:51:38,917][root][INFO] - Epoch 0, EarlyStopper reset counter
[2025-01-12 18:52:10,944][root][INFO] - Epoch 2, EarlyStopper counter: 2/10
[2025-01-12 18:52:12,868][root][INFO] - Epoch 2, EarlyStopper counter: 2/10
[2025-01-12 18:52:18,800][root][INFO] - Epoch 1, EarlyStopper reset counter
[2025-01-12 18:52:18,900][root][INFO] - Epoch 1, EarlyStopper reset counter
[2025-01-12 18:52:31,810][root][INFO] - Epoch 1, EarlyStopper reset counter
[2025-01-12 18:52:48,132][root][INFO] - Epoch 3, EarlyStopper counter: 3/10
[2025-01-12 18:52:48,848][root][INFO] - Epoch 3, EarlyStopper counter: 3/10
[2025-01-12 18:53:05,831][root][INFO] - Epoch 2, EarlyStopper reset counter
[2025-01-12 18:53:09,274][root][INFO] - Epoch 2, EarlyStopper reset counter
[2025-01-12 18:53:13,655][root][INFO] - Epoch 2, EarlyStopper reset counter
[2025-01-12 18:53:21,843][root][INFO] - Epoch 4, EarlyStopper counter: 4/10
[2025-01-12 18:53:24,727][root][INFO] - Epoch 4, EarlyStopper counter: 4/10
[2025-01-12 18:53:49,485][root][INFO] - Epoch 3, EarlyStopper reset counter
[2025-01-12 18:53:55,710][root][INFO] - Epoch 5, EarlyStopper counter: 5/10
[2025-01-12 18:53:56,925][root][INFO] - Epoch 3, EarlyStopper reset counter
[2025-01-12 18:53:58,831][root][INFO] - Epoch 5, EarlyStopper counter: 5/10
[2025-01-12 18:54:02,891][root][INFO] - Epoch 3, EarlyStopper reset counter
[2025-01-12 18:54:30,329][root][INFO] - Epoch 6, EarlyStopper counter: 6/10
[2025-01-12 18:54:31,408][root][INFO] - Epoch 6, EarlyStopper counter: 6/10
[2025-01-12 18:54:34,047][root][INFO] - Epoch 4, EarlyStopper reset counter
[2025-01-12 18:54:46,743][root][INFO] - Epoch 4, EarlyStopper reset counter
[2025-01-12 18:54:57,199][root][INFO] - Epoch 4, EarlyStopper reset counter
[2025-01-12 18:55:03,902][root][INFO] - Epoch 7, EarlyStopper counter: 7/10
