[2025-01-12 18:51:12,401][root][INFO] - Epoch 0, EarlyStopper reset counter
[2025-01-12 18:51:20,821][root][INFO] - Epoch 0, EarlyStopper reset counter
[2025-01-12 18:51:21,162][root][INFO] - Epoch 0, EarlyStopper reset counter
[2025-01-12 18:51:48,538][root][INFO] - Epoch 1, EarlyStopper counter: 1/10
[2025-01-12 18:51:58,802][root][INFO] - Epoch 1, EarlyStopper counter: 1/10
[2025-01-12 18:52:10,254][root][INFO] - Epoch 1, EarlyStopper reset counter
[2025-01-12 18:52:26,137][root][INFO] - Epoch 2, EarlyStopper counter: 2/10
[2025-01-12 18:52:37,827][root][INFO] - Epoch 2, EarlyStopper counter: 2/10
[2025-01-12 18:52:56,554][root][INFO] - Epoch 2, EarlyStopper reset counter
[2025-01-12 18:53:00,203][root][INFO] - Epoch 3, EarlyStopper counter: 3/10
[2025-01-12 18:53:12,585][root][INFO] - Epoch 3, EarlyStopper counter: 3/10
[2025-01-12 18:53:39,021][root][INFO] - Epoch 4, EarlyStopper counter: 4/10
[2025-01-12 18:53:41,896][root][INFO] - Epoch 3, EarlyStopper reset counter
[2025-01-12 18:53:48,901][root][INFO] - Epoch 4, EarlyStopper counter: 4/10
[2025-01-12 18:54:13,254][root][INFO] - Epoch 5, EarlyStopper counter: 5/10
[2025-01-12 18:54:25,832][root][INFO] - Epoch 5, EarlyStopper counter: 5/10
[2025-01-12 18:54:28,849][root][INFO] - Epoch 4, EarlyStopper reset counter
[2025-01-12 18:54:47,534][root][INFO] - Epoch 6, EarlyStopper counter: 6/10
[2025-01-12 18:55:06,973][root][INFO] - Epoch 6, EarlyStopper counter: 6/10
[2025-01-12 18:55:19,887][root][INFO] - Epoch 5, EarlyStopper reset counter
[2025-01-12 18:55:29,975][root][INFO] - Epoch 7, EarlyStopper counter: 7/10
[2025-01-12 18:55:45,100][root][INFO] - Epoch 7, EarlyStopper counter: 7/10
[2025-01-12 18:56:10,316][root][INFO] - Epoch 8, EarlyStopper counter: 8/10
[2025-01-12 18:56:12,092][root][INFO] - Epoch 6, EarlyStopper reset counter
[2025-01-12 18:56:25,996][root][INFO] - Epoch 8, EarlyStopper counter: 8/10
[2025-01-12 18:56:54,364][root][INFO] - Epoch 9, EarlyStopper counter: 9/10
[2025-01-12 18:57:01,578][root][INFO] - Epoch 7, EarlyStopper reset counter
[2025-01-12 18:57:04,714][root][INFO] - Epoch 9, EarlyStopper counter: 9/10
[2025-01-12 18:57:26,622][root][INFO] - Epoch 10, EarlyStopper counter: 10/10
[2025-01-12 18:57:33,680][root][INFO] - Epoch 10, EarlyStopper counter: 10/10
[2025-01-12 18:57:33,692][root][WARNING] - soft link /home/mansoor/antibody_design/epitope_prediction/epitope_pred/asepcode/../../results/asep/ckpts/20250112-185011/20250112-185012/last.pt already exists. It is removed.
[2025-01-12 18:57:33,800][root][WARNING] - soft link /home/mansoor/antibody_design/epitope_prediction/epitope_pred/asepcode/../../results/asep/ckpts/20250112-185011/20250112-185012/rank_0.pt already exists. It is removed.
[2025-01-12 18:57:33,802][root][WARNING] - soft link /home/mansoor/antibody_design/epitope_prediction/epitope_pred/asepcode/../../results/asep/ckpts/20250112-185011/20250112-185012/rank_1.pt already exists. It is removed.
[2025-01-12 18:57:33,802][root][WARNING] - soft link /home/mansoor/antibody_design/epitope_prediction/epitope_pred/asepcode/../../results/asep/ckpts/20250112-185011/20250112-185012/rank_2.pt already exists. It is removed.
